route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accesible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol
flatbus2,全日,flatbus2_全日_08,菊川ルート,,1,flatbus2_全日_11,,,,,
flatbus2,全日,flatbus2_全日_09,菊川ルート,,1,flatbus2_全日_12,,,,,
flatbus2,全日,flatbus2_全日_10,菊川ルート,,1,flatbus2_全日_13,,,,,
flatbus2,全日,flatbus2_全日_11,菊川ルート,,1,flatbus2_全日_14,,,,,
flatbus2,全日,flatbus2_全日_12,菊川ルート,,1,flatbus2_全日_15,,,,,
flatbus2,全日,flatbus2_全日_13,菊川ルート,,1,flatbus2_全日_16,,,,,
flatbus2,全日,flatbus2_全日_14,菊川ルート,,1,flatbus2_全日_17,,,,,
flatbus2,全日,flatbus2_全日_15,菊川ルート,,1,flatbus2_全日_18,,,,,
flatbus2,全日,flatbus2_全日_16,菊川ルート,,1,flatbus2_全日_19,,,,,
flatbus2,全日,flatbus2_全日_17,菊川ルート,,1,flatbus2_全日_20,,,,,
flatbus2,全日,flatbus2_全日_18,菊川ルート,,1,flatbus2_全日_21,,,,,
flatbus2,全日,flatbus2_全日_19,菊川ルート,,1,flatbus2_全日_22,,,,,
flatbus2,全日,flatbus2_全日_20,菊川ルート,,1,flatbus2_全日_23,,,,,
flatbus2,全日,flatbus2_全日_21,菊川ルート,,1,flatbus2_全日_24,,,,,
flatbus2,全日,flatbus2_全日_22,菊川ルート,,1,flatbus2_全日_25,,,,,
flatbus2,全日,flatbus2_全日_23,菊川ルート,,1,flatbus2_全日_26,,,,,
flatbus2,全日,flatbus2_全日_24,菊川ルート,,1,flatbus2_全日_27,,,,,
flatbus2,全日,flatbus2_全日_25,菊川ルート,,1,flatbus2_全日_28,,,,,
flatbus2,全日,flatbus2_全日_26,菊川ルート,,1,flatbus2_全日_29,,,,,
flatbus2,全日,flatbus2_全日_27,菊川ルート,,1,flatbus2_全日_30,,,,,
flatbus2,全日,flatbus2_全日_28,菊川ルート,,1,flatbus2_全日_31,,,,,
flatbus2,全日,flatbus2_全日_29,菊川ルート,,1,flatbus2_全日_32,,,,,
flatbus2,全日,flatbus2_全日_30,菊川ルート,,1,flatbus2_全日_33,,,,,
flatbus2,全日,flatbus2_全日_31,菊川ルート,,1,flatbus2_全日_34,,,,,
flatbus2,全日,flatbus2_全日_32,菊川ルート,,1,flatbus2_全日_35,,,,,
flatbus2,全日,flatbus2_全日_33,菊川ルート,,1,flatbus2_全日_36,,,,,
flatbus2,全日,flatbus2_全日_34,菊川ルート,,1,flatbus2_全日_37,,,,,
flatbus2,全日,flatbus2_全日_35,菊川ルート,,1,flatbus2_全日_38,,,,,
flatbus2,全日,flatbus2_全日_36,菊川ルート,,1,flatbus2_全日_39,,,,,
flatbus2,全日,flatbus2_全日_37,菊川ルート,,1,,,,,,
flatbus2,全日,flatbus2_全日_38,菊川ルート,,1,,,,,,
flatbus2,全日,flatbus2_全日_39,菊川ルート,,1,,,,,,
flatbus3,全日,flatbus3_全日_01,材木ルート,,1,flatbus3_全日_04,,,,,
flatbus3,全日,flatbus3_全日_02,材木ルート,,1,flatbus3_全日_05,,,,,
flatbus3,全日,flatbus3_全日_03,材木ルート,,1,flatbus3_全日_06,,,,,
flatbus3,全日,flatbus3_全日_04,材木ルート,,1,flatbus3_全日_07,,,,,
flatbus3,全日,flatbus3_全日_05,材木ルート,,1,flatbus3_全日_08,,,,,
flatbus3,全日,flatbus3_全日_06,材木ルート,,1,flatbus3_全日_09,,,,,
flatbus3,全日,flatbus3_全日_07,材木ルート,,1,flatbus3_全日_10,,,,,
flatbus3,全日,flatbus3_全日_08,材木ルート,,1,flatbus3_全日_11,,,,,
flatbus3,全日,flatbus3_全日_09,材木ルート,,1,flatbus3_全日_12,,,,,
flatbus3,全日,flatbus3_全日_10,材木ルート,,1,flatbus3_全日_13,,,,,
flatbus3,全日,flatbus3_全日_11,材木ルート,,1,flatbus3_全日_14,,,,,
flatbus3,全日,flatbus3_全日_12,材木ルート,,1,flatbus3_全日_15,,,,,
flatbus3,全日,flatbus3_全日_13,材木ルート,,1,flatbus3_全日_16,,,,,
flatbus3,全日,flatbus3_全日_14,材木ルート,,1,flatbus3_全日_17,,,,,
flatbus3,全日,flatbus3_全日_15,材木ルート,,1,flatbus3_全日_18,,,,,
flatbus3,全日,flatbus3_全日_16,材木ルート,,1,flatbus3_全日_19,,,,,
flatbus3,全日,flatbus3_全日_17,材木ルート,,1,flatbus3_全日_20,,,,,
flatbus3,全日,flatbus3_全日_18,材木ルート,,1,flatbus3_全日_21,,,,,
